Waiting on bqjob_r27336251dd8bd016_0000019abc236a7a_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r27336251dd8bd016_0000019abc236a7a_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r27336251dd8bd016_0000019abc236a7a_1 ... (1s) Current status: DONE   
creation_time,job_id,user_email,statement_type,total_slot_ms,slot_hours,total_bytes_processed,gb_processed,start_time,end_time,duration_seconds,duration_minutes,state,error_reason,error_message_preview,query_preview
2025-11-25 17:24:42,script_job_3272a8d01a2ee70644509f88a2fbacfa_0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,87851695,24.4,,,2025-11-25 17:24:43,,,,RUNNING,,,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-20` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
                    order_item_product_id,
                    order_item_description,
                "
2025-11-25 17:24:42,job_WJ5ekIHNOgbjzR6WyFH-J0CkYRzO,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,,,,,2025-11-25 17:24:42,,,,RUNNING,,,"
        -- Create temp table with changed items using the persisted updates table
        CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-20` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
            "
2025-11-25 17:19:09,script_job_56b0b197ea6c2fdda8fd2442b0f79d16_1,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,DROP_TABLE,,,0,0.0,2025-11-25 17:19:10,2025-11-25 17:19:10,0,0.0,DONE,,,DROP TABLE IF EXISTS `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-24`
2025-11-25 17:19:09,job_1zkKHJkoV9X2I-EreeiClsHpn2ix,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,,,0,0.0,2025-11-25 17:19:09,2025-11-25 17:19:10,1,0.0,DONE,,,"
        DROP TABLE IF EXISTS `narvar-data-lake.return_insights_base.tmp_order_item_details_2025-11-24`;  
        DROP TABLE IF EXISTS `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-24`;
        DROP TABLE IF EXISTS `narvar-data-lake.return_insights_base.tmp_customer_insights_updates_2025-11-24`;
    "
2025-11-25 17:18:13,script_job_66f8b510377d72e5731fc5dc0f3f8dc5_1,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,MERGE,6267271,1.74,32419135752,30.19,2025-11-25 17:18:13,2025-11-25 17:18:32,19,0.0,DONE,,,"MERGE `narvar-data-lake.return_insights_base.product_insights` T
        USING `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-24` S
        ON T.retailer_moniker = S.retailer_moniker
           AND T.primary_key_hash = S.primary_key_hash
        WHEN MATCHED THEN
            UPDATE SET
                retailer_moniker = S.retailer_moniker,order_date = S.order_date,order_checkout_locale = S.order_checkout_locale,order_item_product_id = S.order_item_product_id,order_it"
2025-11-25 17:12:47,script_job_b2654d592228ccb1e1d6ebe7619a1c74_0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,40832524,11.34,74658428431,69.53,2025-11-25 17:12:47,2025-11-25 17:18:10,322,5.0,DONE,,,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-24` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
                    order_item_product_id,
                    order_item_description,
                "
2025-11-25 17:12:47,job_M-k6WMuVGtjlxobPJ3l0C2njOrcC,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,47099795,13.08,107077564183,99.72,2025-11-25 17:12:47,2025-11-25 17:18:33,345,5.0,DONE,,,"
        -- Create temp table with changed items using the persisted updates table
        CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-24` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
            "
2025-11-25 17:11:35,script_job_fc2f549796b4f7c17804b2bd0e4fd03e_1,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,2315395,0.64,12757357494,11.88,2025-11-25 17:11:35,2025-11-25 17:11:45,9,0.0,DONE,,,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_order_item_details_2025-11-24` AS (
            SELECT s.*
            FROM `narvar-data-lake.return_insights_base.tmp_order_item_details_2025-11-24` s
            INNER JOIN (
                SELECT 
                    s.retailer_moniker,
                    s.shopify_domain,
                    s.order_number_sku_hash,
                    s.return_items_id,
                    COUNT(t.retailer_moniker) as match_count
         "
2025-11-25 17:06:47,script_job_27841378c184186006636a1e32cf2d1c_0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,134876532,37.47,4102886649708,3821.11,2025-11-25 17:06:48,2025-11-25 17:11:33,285,4.0,DONE,,,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_order_item_details_2025-11-24` AS (
            SELECT DISTINCT
                o.store_name as shopify_domain,
                o.retailer_moniker,
                '' as cdp_pii_hash,
                '' as pii_type,
                o.order_number,
                o.order_date,
                o.order_number_sku_hash,
                o.order_item_sku,
                o.order_item_sku_hash,
                COALESCE(o.order_item_qua"
2025-11-25 17:06:47,job_aHZw4_NfRFqdK-dsphRXdMm7wyAd,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,143178444,39.77,4161799485923,3875.98,2025-11-25 17:06:47,2025-11-25 17:12:31,343,5.0,DONE,,,"
        -- First, create a temporary table with the source data
        CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_order_item_details_2025-11-24` AS (
            SELECT DISTINCT
                o.store_name as shopify_domain,
                o.retailer_moniker,
                '' as cdp_pii_hash,
                '' as pii_type,
                o.order_number,
                o.order_date,
                o.order_number_sku_hash,
                o.order_item_sku,
       "
2025-11-25 17:01:13,script_job_c564805ff48d83b022895e10547d8b3a_0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,104038770,28.9,,,2025-11-25 17:01:13,,,,RUNNING,,,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-19` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
                    order_item_product_id,
                    order_item_description,
                "
2025-11-25 17:01:12,job_j419oob_2_HyWyBY45RYsegbYKgJ,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,,,,,2025-11-25 17:01:13,,,,RUNNING,,,"
        -- Create temp table with changed items using the persisted updates table
        CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-19` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
            "
2025-11-21 06:38:30,script_job_39dbaa9ec3c4e9362f13d9774bb0151e_0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,309102626,85.86,,,2025-11-21 06:38:30,2025-11-21 12:38:30,21600,360.0,DONE,timeout,Operation timed out after 6.0 hours. Consider reducing the amount of work performed by your operation so that it can complete within this limit.,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-20` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
                    order_item_product_id,
                    order_item_description,
                "
2025-11-21 06:38:30,job_GfBO-8zBmqLqbOcAErnuRkaa0LQO,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,309102626,85.86,0,0.0,2025-11-21 06:38:30,2025-11-21 12:38:30,21600,360.0,DONE,timeout,Request timed out. Please try again. at [3:9],"
        -- Create temp table with changed items using the persisted updates table
        CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-20` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
            "
2025-11-21 00:32:43,script_job_6daf76d91047484b19e5e1311911240e_0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,233930580,64.98,,,2025-11-21 00:32:43,2025-11-21 06:32:43,21600,360.0,DONE,timeout,Operation timed out after 6.0 hours. Consider reducing the amount of work performed by your operation so that it can complete within this limit.,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-20` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
                    order_item_product_id,
                    order_item_description,
                "
2025-11-21 00:32:43,job_RJqlqB05dKtu4tpLG6e5Xae1ykJ0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,233930580,64.98,0,0.0,2025-11-21 00:32:43,2025-11-21 06:32:46,21603,360.0,DONE,timeout,Request timed out. Please try again. at [3:9],"
        -- Create temp table with changed items using the persisted updates table
        CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-20` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
            "
2025-11-21 00:30:16,script_job_5e13ffcc851da508a5e0465d36a0b00f_1,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,4496191,1.25,12819030767,11.94,2025-11-21 00:30:16,2025-11-21 00:30:57,41,0.0,DONE,,,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_order_item_details_2025-11-20` AS (
            SELECT s.*
            FROM `narvar-data-lake.return_insights_base.tmp_order_item_details_2025-11-20` s
            INNER JOIN (
                SELECT 
                    s.retailer_moniker,
                    s.shopify_domain,
                    s.order_number_sku_hash,
                    s.return_items_id,
                    COUNT(t.retailer_moniker) as match_count
         "
2025-11-21 00:15:35,script_job_391410bb1ddee48f15268bef20533423_0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,124858051,34.68,4071397314818,3791.78,2025-11-21 00:15:36,2025-11-21 00:30:15,879,14.0,DONE,,,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_order_item_details_2025-11-20` AS (
            SELECT DISTINCT
                o.store_name as shopify_domain,
                o.retailer_moniker,
                '' as cdp_pii_hash,
                '' as pii_type,
                o.order_number,
                o.order_date,
                o.order_number_sku_hash,
                o.order_item_sku,
                o.order_item_sku_hash,
                COALESCE(o.order_item_qua"
2025-11-21 00:15:35,job_D_maavURf4eg45E8qQmLaloB6eei,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,134429548,37.34,4130944466366,3847.24,2025-11-21 00:15:35,2025-11-21 00:32:06,991,16.0,DONE,,,"
        -- First, create a temporary table with the source data
        CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_order_item_details_2025-11-20` AS (
            SELECT DISTINCT
                o.store_name as shopify_domain,
                o.retailer_moniker,
                '' as cdp_pii_hash,
                '' as pii_type,
                o.order_number,
                o.order_date,
                o.order_number_sku_hash,
                o.order_item_sku,
       "
2025-11-20 18:40:14,script_job_1fff0eae5eb7517c16e88621344b0866_0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,323913787,89.98,,,2025-11-20 18:40:14,2025-11-21 00:40:14,21600,360.0,DONE,timeout,Operation timed out after 6.0 hours. Consider reducing the amount of work performed by your operation so that it can complete within this limit.,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-19` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
                    order_item_product_id,
                    order_item_description,
                "
2025-11-20 18:40:14,job_s6sJ9_blGH6ZgNFFS2zMO6j4mATV,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,323913787,89.98,0,0.0,2025-11-20 18:40:14,2025-11-21 00:40:16,21601,360.0,DONE,timeout,Request timed out. Please try again. at [3:9],"
        -- Create temp table with changed items using the persisted updates table
        CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-19` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
            "
2025-11-20 12:34:48,script_job_f497b114b28bd34fd8f808e424d13900_0,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,CREATE_TABLE_AS_SELECT,287185028,79.77,,,2025-11-20 12:34:48,2025-11-20 18:34:48,21600,360.0,DONE,timeout,Operation timed out after 6.0 hours. Consider reducing the amount of work performed by your operation so that it can complete within this limit.,"CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-19` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
                    order_item_product_id,
                    order_item_description,
                "
2025-11-20 12:34:48,job_KaXz5GqUT4AoJhwDFg8RMm1XUQPY,airflow-bq-job-user-2@narvar-data-lake.iam.gserviceaccount.com,SCRIPT,287185028,79.77,0,0.0,2025-11-20 12:34:48,2025-11-20 18:34:49,21600,360.0,DONE,timeout,Request timed out. Please try again. at [3:9],"
        -- Create temp table with changed items using the persisted updates table
        CREATE OR REPLACE TABLE `narvar-data-lake.return_insights_base.tmp_product_insights_updates_2025-11-19` AS (
            WITH affected_items AS (
                -- Get unique item identifiers from the updates table
                SELECT DISTINCT
                    retailer_moniker,
                    shopify_domain,
                    order_date,
                    order_checkout_locale,
            "
