spike_id,start_ts,end_ts,duration_minutes,total_slot_ms,max_slot_ms,avg_queue_seconds,classifications,ext_job_count,ext_breach_jobs,ext_pct_over_60,slot_hours
1,2025-10-28 17:20:00,2025-10-28 17:30:00,10,8780044584,8780044584,0.0,1,,,,2438.9012733333334
2,2025-10-29 00:30:00,2025-10-29 00:40:00,40,2427911922,1993172612,11.0,4,250.0,1.0,0.40%,674.4199783333333
3,2025-10-29 03:40:00,2025-10-29 03:50:00,50,2263825472,2014783139,0.0,5,318.0,1.0,0.31%,628.8404088888889
4,2025-10-29 05:40:00,2025-10-29 05:50:00,50,12155017889,10837134996,0.2,5,362.0,2.0,0.55%,3376.3938580555555
5,2025-10-29 08:30:00,2025-10-29 08:40:00,50,5216528522,4228311792,0.0,5,332.0,1.0,0.30%,1449.0357005555556
6,2025-10-29 09:00:00,2025-10-29 09:10:00,50,7261181559,5652154208,0.2,5,344.0,6.0,1.74%,2016.9948775
7,2025-10-29 12:00:00,2025-10-29 12:10:00,50,8636866826,7706802748,3.6,5,389.0,7.0,1.80%,2399.129673888889
8,2025-10-29 14:30:00,2025-10-29 14:40:00,50,6240154197,5653602317,0.2,5,548.0,4.0,0.73%,1733.3761658333333
9,2025-10-29 16:40:00,2025-10-29 16:50:00,40,4649510058,3408567790,0.0,4,649.0,5.0,0.77%,1291.5305716666667
10,2025-10-30 00:30:00,2025-10-30 00:40:00,50,3431959963,2105432332,0.0,5,261.0,3.0,1.15%,953.3222119444445
11,2025-10-30 07:00:00,2025-10-30 07:10:00,50,3814565866,2860988764,5.6,5,188.0,11.0,5.85%,1059.6016294444444
12,2025-10-30 09:00:00,2025-10-30 09:10:00,50,5422089527,4995530169,0.4,5,351.0,3.0,0.85%,1506.1359797222221
13,2025-10-30 10:40:00,2025-10-30 10:50:00,50,6103491273,5417824653,3493.6,5,670.0,258.0,38.51%,1695.4142425
14,2025-10-30 14:10:00,2025-10-30 14:20:00,50,26352162757,26046199600,0.0,5,632.0,8.0,1.27%,7320.045210277778
15,2025-10-31 00:30:00,2025-10-31 00:40:00,40,3258596352,1917684490,0.0,4,346.0,1.0,0.29%,905.1656533333334
16,2025-10-31 09:00:00,2025-10-31 09:10:00,50,6029203906,5172668087,202.0,5,384.0,8.0,2.08%,1674.7788627777777
17,2025-10-31 12:20:00,2025-10-31 12:30:00,50,18122322830,17263717458,0.2,5,389.0,9.0,2.31%,5033.978563888889
18,2025-11-01 00:30:00,2025-11-01 00:40:00,40,3024387486,1731376152,0.0,4,146.0,1.0,0.68%,840.107635
19,2025-11-01 01:00:00,2025-11-01 01:10:00,40,2228782463,1081570891,0.25,4,294.0,13.0,4.42%,619.1062397222222
20,2025-11-01 06:10:00,2025-11-01 06:20:00,50,2387415610,959148964,0.0,5,80.0,4.0,5.00%,663.1710027777777
21,2025-11-01 09:00:00,2025-11-01 09:10:00,40,13753489531,13163910597,0.5,4,335.0,2.0,0.60%,3820.413758611111
22,2025-11-02 00:30:00,2025-11-02 00:40:00,40,2697105608,1848879151,0.5,4,183.0,1.0,0.55%,749.1960022222222
23,2025-11-02 06:10:00,2025-11-02 06:20:00,50,2606293928,1134060514,0.0,5,72.0,4.0,5.56%,723.9705355555556
24,2025-11-02 09:00:00,2025-11-02 09:10:00,40,6427202424,5715438144,1.75,4,399.0,3.0,0.75%,1785.3340066666667
25,2025-11-03 00:30:00,2025-11-03 00:40:00,40,2393277579,1422470549,0.0,4,220.0,2.0,0.91%,664.7993275
26,2025-11-03 03:00:00,2025-11-03 03:10:00,40,4972161164,4814974901,0.0,4,305.0,5.0,1.64%,1381.155878888889
27,2025-11-03 06:10:00,2025-11-03 06:20:00,50,2303420460,1119298681,0.2,5,92.0,4.0,4.35%,639.8390166666667
28,2025-11-03 09:00:00,2025-11-03 09:10:00,50,8064607029,7036419282,0.2,5,581.0,11.0,1.89%,2240.1686191666668
29,2025-11-04 00:30:00,2025-11-04 00:40:00,40,2819073029,1808578579,0.0,4,349.0,2.0,0.57%,783.0758413888889
30,2025-11-04 05:20:00,2025-11-04 05:30:00,50,2502651266,1654779777,1.2,5,471.0,78.0,16.56%,695.1809072222222
31,2025-11-04 09:00:00,2025-11-04 09:10:00,40,6536264058,5744719006,1.0,4,408.0,3.0,0.74%,1815.628905
