Value,SKU,Service,Project/Account ID,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11
Actual,Active Physical Storage (US),BigQuery,narvar-data-lake,2852.9534438999995,4140.477228600001,6624.3193542,7708.758249599999,7039.0319364,6114.5500274999995,5790.938017499999,6037.036127100001,6438.2357079,6552.3731202,7101.116108100002,7687.327377600001,7087.444093800001,
Actual,Multi-Region Archive Class A Operations,Cloud Storage (GCS),narvar-data-lake,,,,,,,,,,,,60093.403289999995,,
Actual,Long-Term Physical Storage (US),BigQuery,narvar-data-lake,1877.1012269999997,2017.7504226,2188.8014472000004,2418.0600599999993,2887.6092633,3742.2418193999997,4495.6814939999995,5009.0829012,5499.057360600001,6254.447713200001,7160.899390199999,7888.685000400002,8498.757722399998,
Actual,Long Term Logical Storage,BigQuery,narvar-data-lake,3126.1262328000003,3455.2764792,3885.0230241000004,4677.749549100002,5154.724063800002,5669.198874900001,6179.5008999,6604.3610505000015,7013.274939000002,5535.029385900002,287.3071178999999,125.80158959999996,128.1543939,
Actual,Active Logical Storage,BigQuery,narvar-data-lake,3293.852016600002,3672.7694172000024,3926.102832000005,3432.5855046000056,3276.6149646000017,3010.8187422000005,3327.0627186,4246.944804000001,5249.5035075,4870.1915721000005,2237.363203500001,290.9045727,397.16312489999996,
Actual,Standard Storage US Multi-region,Cloud Storage (GCS),narvar-data-lake,1871.8844841000002,1926.9573534,1974.4270677000002,2021.5434285000001,2066.9343002999994,2113.9152246000003,2184.7923476999995,2232.5879574,2268.1169937000004,2338.0549614000006,2448.8491617,2396.4777171000005,2005.8527907,
Actual,GCP Partner-led Premium Support Variable Fee,Support,narvar-data-lake,1892.490327,1613.7218250000003,1638.27704,1547.8644390000006,1456.4061700000004,1552.411583,1666.3744379999996,1803.136059,1838.5112519999998,1828.8676220000002,1666.1767139999997,3811.432385,1893.8596630000002,
Actual,Standard Storage US Regional,Cloud Storage (GCS),narvar-data-lake,3438.8136198,2881.7553609000006,1454.2957124999998,1196.7591987000003,1112.5894157999999,1202.2494246,1306.7377740000002,1366.7588783999997,1407.5167077000003,1554.383745,1572.1041968999998,1987.3554426000003,2134.3517379000004,
Actual,N2 Instance Core running in Americas,Compute Engine (GCE),narvar-data-lake,7776.108314099992,3151.102512599999,1880.7107652000002,1877.2014968999997,1568.5095203999997,1138.3187795999997,96.57653760000008,170.49374820000008,452.8917009,203.8363578,25.736409900000048,2.766497400000018,93.97913940000001,
Actual,Commitment - dollar based v1: GCE for 3 years,Compute Engine (GCE),narvar-data-lake,,,,,,886.801997,2107.142867,2187.0390209999996,1726.23218,2313.6711950000004,2515.2213720000004,2513.68482,3740.5546619999996,
Actual,Balanced PD Capacity,Compute Engine (GCE),narvar-data-lake,46.34985779999999,1512.3160854,1485.4765797000007,1228.9801932000003,1127.2121091000004,1298.7021798000003,1417.1531408999995,1429.9715889,1478.7704159999996,1598.3415143999998,1665.1768031999998,1776.1371974999997,1763.8816886999998,
Actual,Message Delivery Basic,Cloud Pub/Sub,narvar-data-lake,695.0303136,1304.5715153999997,1994.4029025,1262.5246548,989.4220146000001,1292.8744935000002,1361.3378211,1348.6459139999997,1216.4307111,1220.6209266,1203.7596039000002,1433.7297747000002,1297.6321671,
Actual,vCPU Time Streaming Iowa,Cloud Dataflow,narvar-data-lake,529.5100896000001,2010.6954629999998,2777.961574800001,2070.1900962,1605.8317851000002,1755.8614404,1070.9317746000002,562.6153701000001,527.9925429000001,292.50797039999986,360.74759040000004,815.9253048000002,591.3436257000001,
Actual,Regional Standard Class A Operations,Cloud Storage (GCS),narvar-data-lake,4330.542825,1459.6341254999998,902.2972905,710.141688,603.6221790000001,752.9852025,774.2601135,830.8091565000002,843.5306024999999,916.8680024999999,976.4242425,955.4630760000001,831.2540715,
Actual,Data Compute Unit (milli) Hours - Dataproc Serverless Batch - us-central1,Dataproc,narvar-data-lake,14.342778,72.2398995,698.7185946,4.6863152999999995,7.651749600000001,105.01107930000002,125.83829340000004,449.8974639,141.07485060000002,489.396843,492.64252110000007,3968.6123259000005,7864.4503971,
Actual,Streaming Insert,BigQuery,narvar-data-lake,1213.8709130999998,996.1850213999999,1440.4884398999998,907.2442781999999,699.6419441999999,900.1224603000001,1018.5773714999998,981.6928199999998,996.6069036000001,873.2391363000002,1029.1062015,1213.5358413000001,1052.7038154,
Actual,Log Storage cost,Cloud Logging,narvar-data-lake,6258.5133552,4180.215558600001,205.1870535,165.08840490000003,138.07856790000002,147.23704529999998,139.94350020000002,277.0832817,223.623117,196.0072245,204.40617390000006,507.89919149999986,285.20622899999995,
Actual,SSD backed PD Capacity,Compute Engine (GCE),narvar-data-lake,3575.6654481000014,1214.497035,691.6576562999999,674.5901373000003,649.2956256000002,649.4592420000002,672.959664,694.9789965000001,694.8654911999996,694.9816164000001,695.0664351,695.2089563999998,700.7737806000001,
Actual,Requests,Cloud Run,narvar-data-lake,858.008376,982.5657417000001,1250.45964,840.1356098999998,692.4572676000003,956.6237592,965.1870071999999,1031.7197304000001,985.8709287,1046.2195017,1154.4748109999996,717.9429753000001,,
Actual,Licensing Fee for Google Cloud Dataproc (CPU cost),Compute Engine (GCE),narvar-data-lake,1481.7439520999972,1015.4869154999989,841.0869278999995,687.1084289999999,565.9213608,713.2466034,755.5195979999997,787.5507977999999,790.0742421,882.7798302000001,922.8172292999999,955.8671787,969.9548111999997,
