Waiting on bqjob_r118a60fc5c4106d0_0000019a9d6d6681_1 ... (0s) Current status: RUNNING                                                                                      Waiting on bqjob_r118a60fc5c4106d0_0000019a9d6d6681_1 ... (1s) Current status: RUNNING                                                                                      Waiting on bqjob_r118a60fc5c4106d0_0000019a9d6d6681_1 ... (1s) Current status: DONE   
+-----------------------+-----------------------+------------------------+-----------+-------------+--------------+------------------+-------------------------+---------------------+-------------------------+--------------------+----------------+
|     service_type      |  operation_category   |       project_id       | job_count | days_active | jobs_per_day | total_slot_hours | estimated_cost_18mo_usd | annualized_cost_usd | pct_of_total_slot_hours | total_tb_processed | avg_gb_per_job |
+-----------------------+-----------------------+------------------------+-----------+-------------+--------------+------------------+-------------------------+---------------------+-------------------------+--------------------+----------------+
| App Engine            | MERGE_OTHER           | monitor-base-us-prod   |     32737 |         367 |         89.2 |       2811150.44 |               138870.83 |            92580.55 |                   94.96 |           60593.76 |        1895.35 |
| Other Service Account | MERGE_OTHER           | monitor-base-us-prod   |       214 |         169 |         1.27 |         81800.49 |                 4040.94 |             2693.96 |                    2.76 |            1317.31 |        6303.37 |
| Other Service Account | UPDATE_SHIPMENTS      | monitor-base-us-prod   |     25783 |         366 |        70.45 |         48290.54 |                 2385.55 |             1590.37 |                    1.63 |             396.78 |          15.76 |
| Airflow               | MERGE_OTHER           | monitor-base-us-prod   |       735 |         366 |         2.01 |         11316.24 |                  559.02 |              372.68 |                    0.38 |             320.67 |         447.98 |
| Other Service Account | MERGE_OTHER           | monitor-base-us-qa     |       235 |         232 |         1.01 |          4844.82 |                  239.33 |              159.56 |                    0.16 |              73.57 |         320.57 |
| App Engine            | MERGE_OTHER           | monitor-base-us-qa     |     86357 |         364 |       237.24 |          1827.74 |                   90.29 |               60.19 |                    0.06 |              57.25 |           0.68 |
| Human User            | MERGE_OTHER           | monitor-base-us-prod   |         8 |           4 |          2.0 |           299.26 |                   14.78 |                9.86 |                    0.01 |               4.69 |         600.09 |
| Other Service Account | UPDATE_SHIPMENTS      | monitor-base-us-qa     |     20448 |         213 |         96.0 |           215.54 |                   10.65 |                 7.1 |                    0.01 |               1.68 |           0.08 |
| Human User            | MERGE_SHIPMENTS       | monitor-base-us-prod   |         3 |           2 |          1.5 |           173.86 |                    8.59 |                5.73 |                    0.01 |               2.84 |         969.37 |
| Other Service Account | UPDATE_SHIPMENTS      | narvar-data-lake       |      1423 |         145 |         9.81 |           103.33 |                     5.1 |                 3.4 |                     0.0 |              10.51 |           7.97 |
| Airflow               | MERGE_OTHER           | narvar-data-lake       |       369 |         366 |         1.01 |            75.25 |                    3.72 |                2.48 |                     0.0 |                2.2 |           6.11 |
| Human User            | UPDATE_SHIPMENTS      | narvar-data-lake       |        59 |           7 |         8.43 |            55.04 |                    2.72 |                1.81 |                     0.0 |               1.62 |          48.92 |
| Airflow               | UPDATE_SHIPMENTS      | narvar-data-lake       |        53 |          17 |         3.12 |            36.54 |                    1.81 |                 1.2 |                     0.0 |               1.34 |          47.26 |
| Human User            | MERGE_OTHER           | narvar-cdp-us-prod     |        10 |           1 |         10.0 |             33.5 |                    1.65 |                 1.1 |                     0.0 |               0.83 |         845.41 |
| Human User            | MERGE_SHIPMENTS       | narvar-data-lake       |         9 |           4 |         2.25 |            16.33 |                    0.81 |                0.54 |                     0.0 |               0.18 |          20.84 |
| Human User            | MERGE_OTHER           | narvar-data-lake       |         3 |           2 |          1.5 |             6.48 |                    0.32 |                0.21 |                     0.0 |                0.0 |           0.01 |
| Airflow               | INSERT_SHIPMENTS      | monitor-base-us-prod   |       366 |         365 |          1.0 |              6.1 |                     0.3 |                 0.2 |                     0.0 |               0.29 |            0.8 |
| Human User            | UPDATE_SHIPMENTS      | narvar-research        |        53 |           7 |         7.57 |             2.21 |                    0.11 |                0.07 |                     0.0 |               0.11 |           2.14 |
| Human User            | MERGE_OTHER           | monitor-base-us-qa     |         9 |           1 |          9.0 |             0.07 |                     0.0 |                 0.0 |                     0.0 |                0.0 |           0.33 |
| Human User            | OTHER                 | narvar-data-lake       |         3 |           1 |          3.0 |             0.06 |                     0.0 |                 0.0 |                     0.0 |               0.13 |          44.56 |
| Human User            | INSERT_SHIPMENTS      | narvar-data-lake       |         1 |           1 |          1.0 |             0.01 |                     0.0 |                 0.0 |                     0.0 |                0.0 |           0.17 |
| Human User            | UPDATE_SHIPMENTS      | monitor-base-us-prod   |         1 |           1 |          1.0 |             0.01 |                     0.0 |                 0.0 |                     0.0 |                0.0 |           0.27 |
| Other Service Account | SELECT_FROM_SHIPMENTS | narvar-data-lake       |         4 |           4 |          1.0 |              0.0 |                     0.0 |                 0.0 |                     0.0 |                0.0 |           0.21 |
| Other Service Account | SELECT_FROM_SHIPMENTS | narvar-research        |         8 |           2 |          4.0 |              0.0 |                     0.0 |                 0.0 |                     0.0 |                0.0 |           0.22 |
| Human User            | SELECT_FROM_SHIPMENTS | narvar-zero-standalone |         1 |           1 |          1.0 |              0.0 |                     0.0 |                 0.0 |                     0.0 |                0.0 |           0.08 |
| Human User            | SELECT_FROM_SHIPMENTS | narvar-data-lake       |        11 |           2 |          5.5 |              0.0 |                     0.0 |                 0.0 |                     0.0 |               0.01 |           0.51 |
| Human User            | SELECT_FROM_SHIPMENTS | narvar-research        |         4 |           2 |          2.0 |              0.0 |                     0.0 |                 0.0 |                     0.0 |                0.0 |           0.22 |
+-----------------------+-----------------------+------------------------+-----------+-------------+--------------+------------------+-------------------------+---------------------+-------------------------+--------------------+----------------+
