Value,SKU,Service,Project/Account ID,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11
Actual,Cloud Composer vCPU time in Iowa,Cloud Composer,narvar-na01-datalake,99.0719487,123.05906279999999,198.14493599999994,198.0549648,178.9283205,197.8789041,191.70617220000003,198.0126818999999,191.50133399999999,198.1460997,198.0963729,191.75517180000006,198.14594490000002,
Actual,Cloud Composer SQL vCPU time in Iowa,Cloud Composer,narvar-na01-datalake,167.35287059999993,162.1796391,167.35105079999997,167.35010040000006,151.15845690000003,167.12644139999998,161.95046580000002,167.35185540000003,161.7774642,167.35208849999998,167.34761369999995,161.9543313,167.35199760000003,
Actual,Commitment - dollar based v1: GCE for 3 years,Compute Engine (GCE),narvar-na01-datalake,,,,,,67.895427,154.07970600000002,154.88774,123.558191,152.85270200000002,165.94658200000003,205.980064,438.871461,
Actual,E2 Instance Core running in Americas,Compute Engine (GCE),narvar-na01-datalake,193.57283249999998,187.53352649999994,193.55260229999996,193.5650628,174.85641270000005,112.88098530000002,8.6869593,14.4917811,45.02571029999999,17.465594400000008,2.2575249,,17.337657599999996,
Actual,Cloud Composer network Data Transfer Out from Iowa,Cloud Composer,narvar-na01-datalake,48.040084799999995,40.3831629,41.893204499999996,45.751518000000004,38.8296594,83.68904790000002,93.45659400000002,93.29136839999997,91.5065217,99.22088160000003,94.02017490000001,93.30722369999998,108.5294556,
Actual,Log Storage cost,Cloud Logging,narvar-na01-datalake,80.11153710000002,72.631773,71.10960570000002,67.07425050000002,43.4462211,59.78183400000001,67.959315,61.04314980000001,62.228508300000016,88.63285680000004,78.19235280000001,87.63872580000003,90.59648670000003,
Actual,Regional Standard Class A Operations,Cloud Storage (GCS),narvar-na01-datalake,58.0440195,53.4216825,57.696772499999994,59.995206,51.37278300000001,57.466466999999994,59.38123949999999,58.10944500000001,56.671645500000004,64.63019700000002,62.7825645,63.178587,66.177549,
Actual,E2 Instance Ram running in Americas,Compute Engine (GCE),narvar-na01-datalake,103.78234259999999,100.544355,103.7715039,103.77813780000002,93.74774759999998,60.5201922,4.657452299999994,7.769655899999997,24.1401789,9.3640464,1.2102641999999966,,17.193295799999998,
Actual,GCP Partner-led Premium Support Variable Fee,Support,narvar-na01-datalake,27.563956,27.304221,30.619266999999997,30.580803000000003,26.897018999999997,31.470326999999997,31.465471000000008,31.980753,31.120126000000006,33.350189,32.808227,35.313168000000005,51.979634000000004,
Actual,Message Delivery Basic,Cloud Pub/Sub,narvar-na01-datalake,10.990967399999999,11.2843377,17.8191081,14.9059656,10.345813199999998,13.2212646,14.071484699999996,15.378370199999999,14.8682241,15.2784072,15.337439100000001,17.423449199999997,17.353970099999998,
Actual,External IP Charge on a Standard VM,Compute Engine (GCE),narvar-na01-datalake,13.358396699999998,12.905325,13.310324099999999,13.3099866,12.0234618,13.2791823,12.889727100000002,13.3073964,12.8717262,13.310484299999999,13.247111700000005,13.5379962,12.963588300000005,
Actual,Storage PD Capacity,Compute Engine (GCE),narvar-na01-datalake,11.003760899999998,10.999493999999999,11.002611599999998,11.004366599999999,11.0052558,11.007865800000001,11.0132262,10.997757000000002,11.008523699999998,11.0043954,11.0191563,10.456119,3.4170128999999996,
Actual,Cloud Composer Data storage in Iowa,Cloud Composer,narvar-na01-datalake,9.824015699999999,9.822792600000001,9.8238852,9.8216325,9.822707999999999,9.823283099999998,9.821290499999998,9.820628099999999,9.810794699999997,10.308663899999999,11.051300700000004,11.050873199999998,11.0527101,
Actual,Commitment - dollar based v1: GCE for 1 year,Compute Engine (GCE),narvar-na01-datalake,,,,,,5.60744,14.073300000000003,13.522584999999998,10.110840000000001,12.610240000000001,13.834492999999998,18.337314000000006,36.85498799999999,
Actual,Monitoring API Requests,Cloud Monitoring,narvar-na01-datalake,6.805053000000004,6.596189999999997,6.808121999999998,6.808212000000001,6.146730000000001,6.800967,6.587459999999999,6.774228000000002,6.533657999999999,6.783182999999998,6.783066000000001,6.564311999999999,6.747453000000001,
Actual,Standard Storage US Regional,Cloud Storage (GCS),narvar-na01-datalake,,4.960920599999999,2.3949288,2.3375213999999995,2.4663608999999997,2.8340739,2.9140118999999998,3.1334247000000004,3.3707474999999993,3.9444840000000005,3.9786471000000003,4.387371299999999,4.739085899999999,
Actual,Inter-region data delivery from North America to North America,Cloud Pub/Sub,narvar-na01-datalake,1.3277115000000002,1.3528115999999997,2.1445227,1.8073098000000005,1.2499173,1.5603084,1.6599275999999998,1.8149643000000002,1.7779977,1.8518508,1.8553140000000004,2.1184479000000005,2.1295674000000004,
Actual,Cloud Load Balancer Forwarding Rule Minimum for Americas (multi-region),Networking,narvar-na01-datalake,,,,,,,,,,,,3.4991145,16.739704800000002,
Actual,Metric Volume,Cloud Monitoring,narvar-na01-datalake,,,,,1.0211832,1.1911914000000001,1.1770524,1.2263103000000006,,,,,,
Actual,Network Inter Zone Data Transfer Out,Compute Engine (GCE),narvar-na01-datalake,,,,,,,,,,,,,1.2284199,
Actual,Balanced PD Capacity,Compute Engine (GCE),narvar-na01-datalake,9.8996148,9.899213400000002,9.899360099999999,9.9003168,9.901836000000001,9.9003096,9.9003933,9.900331199999998,9.9004068,9.900965700000002,9.901001699999998,13.257188100000004,28.632912299999997,
