project_id,consumer_subcategory,retailer_moniker,total_jobs,active_days,total_slot_hours,avg_slot_hours_per_job,avg_concurrent_slots,avg_exec_seconds,p50_exec_seconds,p95_exec_seconds,p99_exec_seconds,max_exec_seconds,qos_violations,qos_violation_pct,total_cost_usd,environment
monitor-base-us-prod,MONITOR_BASE,,197678,62,615976.07,3.1161,25.77,59.48,29.0,98.0,1056.0,4872,87216,44.12,30430.37,PROD
monitor-base-us-stg,MONITOR_BASE,,21778,61,42026.8,1.9298,13.5,1004.87,36.0,5939.0,12214.0,25457,11196,51.41,2076.57,STG
monitor-26a614b-us-prod,MONITOR,511tactical,707,37,17382.85,24.5868,57.11,360.61,3.0,108.0,21600.0,50560,89,12.59,858.72,PROD
monitor-a679b28-us-prod,MONITOR,fashionnova,4189,61,11768.22,2.8093,179.27,21.96,2.0,106.0,147.0,357,983,23.47,581.43,PROD
monitor-a3d24b5-us-prod,MONITOR_UNMATCHED,,4197,61,2371.66,0.5651,82.9,10.78,2.0,46.0,220.0,567,336,8.01,117.2,PROD
monitor-64a7788-us-prod,MONITOR_UNMATCHED,,1253,19,1563.57,1.2479,155.81,22.02,20.0,59.0,104.0,450,342,27.29,77.25,PROD
monitor-base-us-qa,MONITOR_BASE,,33432,61,1213.56,0.0363,5.15,8.75,4.0,24.0,62.0,930,1258,3.76,59.77,QA
monitor-5494e1e-us-prod,MONITOR,onrunning,17108,44,636.02,0.0372,45.61,2.69,2.0,7.0,26.0,247,129,0.75,31.26,PROD
monitor-1e15a40-us-prod,MONITOR,sephora,864,35,340.13,0.3937,239.83,3.27,1.0,12.0,32.0,47,9,1.04,16.81,PROD
monitor-8bf3d71-us-prod,MONITOR_UNMATCHED,,103,11,141.47,1.3735,187.31,14.2,4.0,50.0,56.0,56,18,17.48,6.99,PROD
monitor-62661a6-us-stg,MONITOR_UNMATCHED,,7317,61,130.01,0.0178,49.09,0.59,0.0,2.0,5.0,103,2,0.03,6.49,STG
monitor-fdbaa09-us-prod,MONITOR,newbalance,4709,40,112.83,0.024,33.4,2.0,2.0,4.0,9.0,137,7,0.15,5.67,PROD
monitor-eaf244f-us-prod,MONITOR,uniqlo,646,36,108.12,0.1674,47.91,5.88,3.0,18.0,54.0,158,13,2.01,5.34,PROD
monitor-20d2462-us-prod,MONITOR_UNMATCHED,,450,19,98.72,0.2194,124.41,4.13,2.0,17.0,27.0,83,3,0.67,4.89,PROD
monitor-6cb3559-us-prod,MONITOR,altardstate,1865,61,91.35,0.049,43.39,3.0,2.0,8.0,23.0,135,17,0.91,4.57,PROD
monitor-41fd220-us-prod,MONITOR,nike,167,7,80.28,0.4807,441.71,2.72,2.0,10.0,18.0,18,0,0.0,3.97,PROD
