retailer_moniker,shipment_count,order_count,return_count,shipments_production_cost_usd,orders_production_cost_usd,returns_production_cost_usd,total_production_cost_usd,consumption_cost_usd,consumption_slot_hours,query_count,total_cost_usd,consumption_to_production_ratio,consumption_pct_of_total
gap,493384388,416252570,0,9668.16,1812.66,0.0,11480.82,1.5310000000000001,30.93999999999999,170,11482.351,1.0E-4,1.0E-4
nike,294976824,134313772,0,5780.25,584.9,0.0,6365.15,8.524599999999996,171.05999999999992,2544,6373.674599999999,0.0013,0.0013
qvc,227854934,241527927,2423035,4464.95,1051.79,629.43,6146.17,0.1254,2.5199999999999996,32,6146.2954,0.0,0.0
fashionnova,121801933,228573141,4873173,2386.78,995.37,1265.91,4648.06,1346.6448000000005,27256.42,11822,5994.704800000001,0.2897,0.2246
shutterfly,261781521,62611822,0,5129.77,272.66,0.0,5402.43,0.0,0.0,0,5402.43,0.0,0.0
sephora,193390412,189694269,893515,3789.6,826.07,232.11,4847.78,18.735399999999995,378.2000000000002,2336,4866.515399999999,0.0039,0.0038
ae,158680161,181585326,2612021,3109.43,790.75,678.53,4578.71,0.5696000000000001,11.620000000000001,214,4579.2796,1.0E-4,1.0E-4
lululemon,163355589,215075046,926905,3201.05,936.59,240.78,4378.42,52.4868,1061.46,3518,4430.9068,0.012,0.0118
kohls,190535820,84965625,0,3733.66,370.0,0.0,4103.66,0.0,0.0,0,4103.66,0.0,0.0
dickssportinggoods,151465379,96096257,0,2968.05,418.47,0.0,3386.5200000000004,0.0,0.0,0,3386.5200000000004,0.0,0.0
centerwell,143127616,126382656,8147,2804.67,550.36,2.12,3357.15,4.869199999999995,91.66,6716,3362.0192,0.0015,0.0014
bathandbodyworks,130126507,81212397,13715,2549.91,353.66,3.56,2907.1299999999997,2.6961999999999993,54.459999999999994,462,2909.8261999999995,9.0E-4,9.0E-4
petco,52643124,414361687,21995,1031.57,1804.43,5.71,2841.71,0.0,0.0,0,2841.71,0.0,0.0
jcpenney,112738275,101866253,527737,2209.17,443.6,137.09,2789.86,10.403399999999994,210.58000000000004,398,2800.2634000000003,0.0037,0.0037
victoriassecret,130253491,55833032,0,2552.4,243.14,0.0,2795.54,0.0,0.0,0,2795.54,0.0,0.0
