retailer_moniker,shipment_count,order_count,return_count,shipments_production_cost_usd,orders_production_cost_usd,returns_production_cost_usd,total_production_cost_usd,consumption_cost_usd,consumption_slot_hours,query_count,first_query_date,last_query_date,query_days_active,avg_queries_per_day,total_cost_usd,consumption_to_production_ratio,consumption_pct_of_total
gap,27871110,49225028,0,2350.01,611.47,0.0,2961.4800000000005,0.0,0.0,0,,,1,0.0,2961.4800000000005,0.0,0.0
qvc,26041035,21404728,2420463,2195.7,265.89,155.0,2616.5899999999997,0.0718,1.4600000000000002,2,2025-09-15,2025-09-15,1,2.0,2616.6618,0.0,0.0
kohls,19232272,68984674,0,1621.61,856.93,0.0,2478.54,0.0,0.0,0,,,1,0.0,2478.54,0.0,0.0
fashionnova,8823325,35579168,4864934,743.96,441.96,311.53,1497.45,581.4318999999999,11768.219999999998,4189,2025-09-01,2025-10-31,61,68.67,2078.8819,0.3883,0.2797
fanatics,14296669,13021060,0,1205.45,161.75,0.0,1367.2,0.0,0.0,0,,,1,0.0,1367.2,0.0,0.0
sephora,11572232,23327466,892500,975.74,289.77,57.15,1322.66,16.810499999999998,340.1299999999999,864,2025-09-01,2025-10-31,61,14.16,1339.4705000000001,0.0127,0.0126
centerwell,13732466,6978906,8138,1157.88,86.69,0.52,1245.0900000000001,2.2036000000000007,42.26000000000001,1995,2025-09-01,2025-10-31,61,32.7,1247.2936000000002,0.0018,0.0018
ae,9995064,16845141,2607338,842.75,209.25,166.96,1218.96,0.14539999999999997,2.9499999999999993,17,2025-09-02,2025-09-02,1,17.0,1219.1054000000001,1.0E-4,1.0E-4
nike,12329072,9414423,0,1039.55,116.95,0.0,1156.5,3.9663,80.28,167,2025-09-08,2025-10-29,52,3.21,1160.4663,0.0034,0.0034
medline,12070112,3170219,0,1017.72,39.38,0.0,1057.1000000000001,0.0,0.0,0,,,1,0.0,1057.1000000000001,0.0,0.0
lululemon,8753393,17981582,925834,738.06,223.37,59.29,1020.7199999999999,2.8621000000000008,56.83,1219,2025-09-03,2025-10-30,58,21.02,1023.5821,0.0028,0.0028
ulta,7094007,25474237,0,598.15,316.44,0.0,914.5899999999999,0.6668000000000001,13.459999999999997,97,2025-10-07,2025-10-21,15,6.47,915.2567999999999,7.0E-4,7.0E-4
511tactical,184969,1189042,34843,15.6,14.77,2.23,32.599999999999994,858.7164000000001,17382.850000000002,707,2025-09-02,2025-10-30,59,11.98,891.3164000000002,26.341,0.9634
shutterfly,9170194,4133139,0,773.2,51.34,0.0,824.5400000000001,0.0,0.0,0,,,1,0.0,824.5400000000001,0.0,0.0
dickssportinggoods,7096398,11259709,0,598.35,139.87,0.0,738.22,0.0,0.0,0,,,1,0.0,738.22,0.0,0.0
victoriassecret,6341624,12398939,0,534.71,154.02,0.0,688.73,0.0,0.0,0,,,1,0.0,688.73,0.0,0.0
bathandbodyworks,5673785,12961806,13708,478.4,161.01,0.88,640.29,0.0,0.0,0,,,1,0.0,640.29,0.0,0.0
dell,6936792,3332774,0,584.89,41.4,0.0,626.29,0.0,0.0,0,,,1,0.0,626.29,0.0,0.0
urbanoutfitters,7018060,20,1,591.74,0.0,0.0,591.74,0.0,0.0,0,,,1,0.0,591.74,0.0,0.0
jcpenney,5253977,7712429,527099,443.0,95.8,33.75,572.55,3.411199999999999,69.06,122,2025-09-01,2025-10-31,61,2.0,575.9612,0.006,0.0059
lululemon-intl,6276568,868093,466991,529.22,10.78,29.9,569.9,0.0,0.0,0,,,1,0.0,569.9,0.0,0.0
belkxstorepos,0,10068784,6756629,0.0,125.07,432.67,557.74,0.0,0.0,0,,,1,0.0,557.74,0.0,0.0
onrunning,2007203,23376337,880940,169.24,290.38,56.41,516.03,31.260999999999953,636.019999999999,17108,2025-09-01,2025-10-31,61,280.46,547.2909999999999,0.0606,0.0571
ipsy-beauty,5355324,4742882,0,451.54,58.92,0.0,510.46000000000004,0.0,0.0,0,,,1,0.0,510.46000000000004,0.0,0.0
thriftbooks,4387132,7645334,15225,369.91,94.97,0.97,465.85,0.0,0.0,0,,,1,0.0,465.85,0.0,0.0
henryschein-medical,5260519,1388996,0,443.55,17.25,0.0,460.8,0.0,0.0,0,,,1,0.0,460.8,0.0,0.0
gapca,3317031,7393990,715947,279.68,91.85,45.85,417.38,0.0,0.0,0,,,1,0.0,417.38,0.0,0.0
belk,3362758,9094629,290617,283.54,112.97,18.61,415.12,0.0372,0.73,14,2025-09-19,2025-09-19,1,14.0,415.1572,1.0E-4,1.0E-4
childrensplace,2465231,16411944,0,207.86,203.87,0.0,411.73,0.0,0.0,0,,,1,0.0,411.73,0.0,0.0
jdsports-emea,3107631,8697446,0,262.03,108.04,0.0,370.07,0.0,0.0,0,,,1,0.0,370.07,0.0,0.0
nespresso,3333748,5892680,0,281.09,73.2,0.0,354.28999999999996,0.0,0.0,0,,,1,0.0,354.28999999999996,0.0,0.0
dsw,3426894,3666344,219965,288.95,45.54,14.09,348.58,0.5042000000000001,10.1,117,2025-09-03,2025-10-31,59,1.98,349.0842,0.0014,0.0014
footlocker,3354504,5164008,0,282.84,64.15,0.0,346.99,0.0,0.0,0,,,1,0.0,346.99,0.0,0.0
anntaylor,3394071,524868,631533,286.18,6.52,40.44,333.14,0.045500000000000006,0.9,17,2025-10-16,2025-10-16,1,17.0,333.1855,1.0E-4,1.0E-4
crocs,2769837,4069515,655897,233.54,50.55,42.0,326.09,1.0109000000000001,20.430000000000003,163,2025-09-01,2025-10-27,57,2.86,327.10089999999997,0.0031,0.0031
stitchfix,3640737,508424,0,306.98,6.32,0.0,313.3,0.0,0.0,0,,,1,0.0,313.3,0.0,0.0
doterra,3056925,4316070,476,257.75,53.61,0.03,311.39,0.013099999999999999,0.27,63,2025-09-01,2025-10-31,61,1.03,311.4031,0.0,0.0
uscurlsmith,3550987,43225,0,299.41,0.54,0.0,299.95000000000005,0.0,0.0,0,,,1,0.0,299.95000000000005,0.0,0.0
landsend,2080408,8018162,254063,175.41,99.6,16.27,291.28,0.08960000000000004,1.8000000000000012,232,2025-09-16,2025-10-21,36,6.44,291.3696,3.0E-4,3.0E-4
carters,2299676,6208192,274336,193.9,77.12,17.57,288.59,0.044599999999999994,0.8500000000000001,81,2025-09-05,2025-10-28,54,1.5,288.6346,2.0E-4,2.0E-4
petco,2637513,3640093,21974,222.39,45.22,1.41,269.02000000000004,0.0,0.0,0,,,1,0.0,269.02000000000004,0.0,0.0
torrid2,2070093,5759794,355112,174.54,71.55,22.74,268.83,0.013300000000000001,0.27,10,2025-10-21,2025-10-21,1,10.0,268.8433,0.0,0.0
petsathome,2056235,6702095,0,173.38,83.25,0.0,256.63,0.9448999999999997,18.299999999999994,829,2025-09-07,2025-10-31,55,15.07,257.5749,0.0037,0.0037
