retailer_moniker,shipment_count,order_count,return_count,shipments_production_cost_usd,orders_production_cost_usd,returns_production_cost_usd,total_production_cost_usd,consumption_cost_usd,consumption_slot_hours,query_count,first_query_date,last_query_date,query_days_active,avg_queries_per_day,total_cost_usd,consumption_to_production_ratio,consumption_pct_of_total
gap,27871054,49229830,0,2350.03,611.52,0.0,2961.55,0.0,0.0,0,,,1,0.0,2961.55,0.0,0.0
qvc,26040369,21405567,2420439,2195.67,265.9,155.0,2616.57,0.0718,1.4600000000000002,2,2025-09-15,2025-09-15,1,2.0,2616.6418000000003,0.0,0.0
kohls,19232223,68984659,0,1621.62,856.92,0.0,2478.54,0.0,0.0,0,,,1,0.0,2478.54,0.0,0.0
fashionnova,8822939,35580490,4864870,743.93,441.97,311.53,1497.43,581.4318999999998,11768.22,4189,2025-09-01,2025-10-31,61,68.67,2078.8619,0.3883,0.2797
fanatics,14296662,13021468,0,1205.47,161.75,0.0,1367.22,0.0,0.0,0,,,1,0.0,1367.22,0.0,0.0
sephora,11572192,23327603,892478,975.74,289.77,57.15,1322.66,16.810500000000005,340.13000000000005,864,2025-09-01,2025-10-31,61,14.16,1339.4705000000001,0.0127,0.0126
centerwell,13732466,6978941,8138,1157.89,86.69,0.52,1245.1000000000001,2.2036000000000007,42.260000000000005,1995,2025-09-01,2025-10-31,61,32.7,1247.3036000000002,0.0018,0.0018
ae,9995052,16845402,2607275,842.76,209.25,166.96,1218.97,0.14539999999999997,2.9499999999999993,17,2025-09-02,2025-09-02,1,17.0,1219.1154000000001,1.0E-4,1.0E-4
nike,12329058,9415316,0,1039.56,116.96,0.0,1156.52,3.9663,80.28,167,2025-09-08,2025-10-29,52,3.21,1160.4863,0.0034,0.0034
medline,12069867,3170231,0,1017.71,39.38,0.0,1057.0900000000001,0.0,0.0,0,,,1,0.0,1057.0900000000001,0.0,0.0
lululemon,8753254,17981759,925816,738.06,223.37,59.29,1020.7199999999999,2.8621000000000008,56.829999999999984,1219,2025-09-03,2025-10-30,58,21.02,1023.5821,0.0028,0.0028
ulta,7094006,25474051,0,598.15,316.43,0.0,914.5799999999999,0.6668000000000001,13.459999999999996,97,2025-10-07,2025-10-21,15,6.47,915.2467999999999,7.0E-4,7.0E-4
511tactical,184968,1189026,34843,15.6,14.77,2.23,32.599999999999994,858.7163999999998,17382.850000000002,707,2025-09-02,2025-10-30,59,11.98,891.3163999999998,26.341,0.9634
shutterfly,9170194,4133103,0,773.21,51.34,0.0,824.5500000000001,0.0,0.0,0,,,1,0.0,824.5500000000001,0.0,0.0
dickssportinggoods,7096389,11259936,0,598.35,139.87,0.0,738.22,0.0,0.0,0,,,1,0.0,738.22,0.0,0.0
victoriassecret,6341624,12398994,0,534.71,154.02,0.0,688.73,0.0,0.0,0,,,1,0.0,688.73,0.0,0.0
bathandbodyworks,5673785,12962275,13708,478.4,161.02,0.88,640.3,0.0,0.0,0,,,1,0.0,640.3,0.0,0.0
dell,6936489,3332820,0,584.87,41.4,0.0,626.27,0.0,0.0,0,,,1,0.0,626.27,0.0,0.0
urbanoutfitters,7018052,20,1,591.75,0.0,0.0,591.75,0.0,0.0,0,,,1,0.0,591.75,0.0,0.0
jcpenney,5253973,7712389,527077,443.0,95.8,33.75,572.55,3.411199999999999,69.06000000000002,122,2025-09-01,2025-10-31,61,2.0,575.9612,0.006,0.0059
lululemon-intl,6276402,868084,466988,529.21,10.78,29.9,569.89,0.0,0.0,0,,,1,0.0,569.89,0.0,0.0
