retailer_moniker,order_count,orders_production_cost_usd,orders_volume_share,consumption_cost_usd,consumption_slot_hours,query_count,consumption_to_production_ratio,net_cost_imbalance
lenskart,419168225,1825.42,0.04029455164940473,0.0,0.0,0,0.0,1825.42
gap,416222545,1812.6,0.040011384062208395,1.5310000000000001,30.939999999999994,170,8.0E-4,1811.07
petco,414360578,1804.49,0.03983239357348281,0.0,0.0,0,0.0,1804.49
onrunning,302732198,1318.36,0.029101581323939377,27.288999999999998,550.52,9922,0.0207,1291.07
discounttire,293401080,1277.72,0.02820458295008198,0.0,0.0,0,0.0,1277.72
qvc,241519596,1051.79,0.02321722701038554,0.1254,2.5199999999999996,32,1.0E-4,1051.66
ulta,240470287,1047.22,0.023116357161062667,0.8562000000000001,17.240000000000002,212,8.0E-4,1046.36
fashionnova,228559733,995.35,0.02197139815724976,1346.6447999999996,27256.419999999984,11822,1.3529,-351.29
lululemon,215057473,936.55,0.020673428796729433,52.48680000000001,1061.4599999999996,3518,0.056,884.06
sephora,189688798,826.07,0.018234743505008044,18.73539999999999,378.2,2336,0.0227,807.33
ae,181577100,790.74,0.01745496771445194,0.5696,11.62,214,7.0E-4,790.17
dell,150571236,655.72,0.014474380652103838,0.0,0.0,0,0.0,655.72
shoplc-returns,145544652,633.83,0.01399117620928599,0.0,0.0,0,0.0,633.83
fanatics,136017364,592.34,0.013075320055364128,0.0,0.0,0,0.0,592.34
nike,134305250,584.88,0.012910734903417868,8.524600000000001,171.05999999999995,2544,0.0146,576.36
centerwell,126382623,550.38,0.012149134467577417,4.869199999999998,91.66,6716,0.0088,545.51
uniqlo,113680944,495.07,0.010928124787037677,0.057600000000000005,1.12,100,1.0E-4,495.01
discounttire-staging,113506007,494.3,0.010911308130713377,0.0,0.0,0,0.0,494.3
jdsports-emea,108303861,471.65,0.010411226950455155,0.0,0.0,0,0.0,471.65
childrensplace,107160594,466.67,0.01030132493872571,0.0,0.0,0,0.0,466.67
dsw,106902811,465.55,0.010276544314173746,1.1152000000000002,22.619999999999994,476,0.0024,464.43
belk,103899146,452.47,0.009987802641352508,0.0018,0.04,4,0.0,452.47
jcpenney,101862487,443.6,0.009792019048100122,10.4034,210.57999999999993,398,0.0235,433.2
dickssportinggoods,96086371,418.44,0.009236762254732845,0.0,0.0,0,0.0,418.44
torrid2,92918728,404.65,0.008932257411908999,0.002,0.04,12,0.0,404.65
doterra,87188280,379.69,0.008381390673595931,0.7983999999999999,16.080000000000002,258,0.0021,378.89
kohls,84965625,370.01,0.00816772732471898,0.0,0.0,0,0.0,370.01
bathandbodyworks,81203239,353.63,0.007806049964747343,2.6961999999999993,54.459999999999994,462,0.0076,350.93
thriftbooks,75358468,328.18,0.007244193380941538,0.048799999999999996,0.9800000000000002,30,1.0E-4,328.13
venus,72120879,314.08,0.006932964644125801,0.0,0.0,0,0.0,314.08
crocs,70322149,306.24,0.006760053114659717,0.9020000000000004,18.14,368,0.0029,305.34
loft,68492213,298.27,0.00658414175910049,0.0,0.0,0,0.0,298.27
skims,64142155,279.33,0.006165971615695879,0.0,0.0,0,0.0,279.33
shutterfly,62601376,272.62,0.00601785686058576,0.0,0.0,0,0.0,272.62
tilebar,61692677,268.66,0.005930503820432818,0.0,0.0,0,0.0,268.66
northerntool,58610280,255.24,0.005634193657322362,0.0,0.0,0,0.0,255.24
footlocker,56473729,245.94,0.005428807467514947,0.0,0.0,0,0.0,245.94
victoriassecret,55828413,243.13,0.005366773378713995,0.0,0.0,0,0.0,243.13
manscaped,53485596,232.92,0.005141558882525494,0.0,0.0,0,0.0,232.92
gapca,53397617,232.54,0.005133101480107734,0.049199999999999994,0.9200000000000003,62,2.0E-4,232.49
saksfifthavenue,53113849,231.3,0.005105822923073865,0.01,0.22000000000000003,6,0.0,231.29
pandoraeu,50932166,221.8,0.004896098203777386,0.0,0.0,0,0.0,221.8
nespresso,50706419,220.82,0.004874397193040711,0.0,0.0,0,0.0,220.82
joann,49848117,217.08,0.004791888805698643,0.0,0.0,0,0.0,217.08
talbotshww,49563374,215.84,0.0047645165221236975,0.0,0.0,0,0.0,215.84
jcrew,49377629,215.03,0.004746660895075348,0.067,1.3600000000000003,24,3.0E-4,214.96
