retailer_moniker,production_cost_usd,production_volume_share,consumption_cost_usd,consumption_slot_hours,query_count,consumption_to_production_ratio,net_cost_imbalance
belkxstorepos,38898.08,0.14785421382372538,0.0,0.0,0,0.0,38898.08
fashionnova,28054.98,0.10663885241323821,1346.6448000000005,27256.419999999987,11822,0.048,26708.34
ae,15037.47,0.05715843084562746,0.5696,11.620000000000001,214,0.0,15036.9
qvc,13949.47,0.05302288093550355,0.1254,2.5199999999999996,32,0.0,13949.34
oldnavyca,9493.68,0.036086111853729515,0.0,0.0,0,0.0,9493.68
jcrew,6231.96,0.023688105844133407,0.067,1.3600000000000003,24,0.0,6231.89
lululemon,5336.21,0.020283311406365537,52.48680000000001,1061.4599999999996,3518,0.0098,5283.72
sephora,5143.99,0.019552643465359128,18.73539999999999,378.19999999999993,2336,0.0036,5125.25
onrunning,5076.38,0.019295673305693414,27.28899999999999,550.5199999999998,9922,0.0054,5049.09
uniqlo,4873.09,0.018522946551191518,0.05759999999999999,1.12,100,0.0,4873.03
vuoriclothing,4792.23,0.0182155802169784,0.1478,2.96,130,0.0,4792.08
loft,4567.04,0.017359611148981793,0.0,0.0,0,0.0,4567.04
saksfifthavenue,4144.12,0.01575209791309288,0.01,0.22000000000000003,6,0.0,4144.11
gapca,4128.87,0.015694130276802793,0.049199999999999994,0.9200000000000003,62,0.0,4128.82
crocs,3780.23,0.014368905643459036,0.902,18.140000000000004,368,2.0E-4,3779.33
anntaylor,3638.73,0.013831069265679594,0.0,0.0,0,0.0,3638.73
levi,3420.71,0.013002366213091613,7.191799999999998,144.02000000000007,3856,0.0021,3413.52
jcpenney,3038.19,0.011548382964447414,10.403399999999992,210.58000000000013,398,0.0034,3027.79
jcrewfactory,2712.93,0.010312046416649267,0.0,0.0,0,0.0,2712.93
lululemon-intl,2690.84,0.010228060086682733,0.027000000000000003,0.5,76,0.0,2690.81
madewell,2426.18,0.00922206228542647,0.10439999999999999,2.08,64,0.0,2426.08
newbalance,2244.68,0.008532162070508558,3.0065999999999993,57.84,3220,0.0013,2241.67
express,2095.95,0.007966862731783835,0.10800000000000001,2.1799999999999997,56,1.0E-4,2095.84
thenorthface,2075.33,0.00788847840819339,15.882000000000007,322.1000000000002,2526,0.0077,2059.45
torrid2,2047.06,0.0077810117936895715,0.002,0.04,12,0.0,2047.06
patagonia,1932.07,0.007343923999330123,0.1992,4.000000000000001,72,1.0E-4,1931.87
hannaandersson,1826.74,0.00694355560613895,0.0,0.0,0,0.0,1826.74
talbotshww,1766.66,0.006715208197801068,0.0,0.0,0,0.0,1766.66
belk,1674.86,0.006366264472515408,0.0018,0.04,4,0.0,1674.86
eddiebauer,1613.49,0.006132971542923634,0.0,0.0,0,0.0,1613.49
crewclothing,1582.04,0.006013425602171373,12.303400000000002,248.96000000000004,2024,0.0078,1569.74
carters,1581.45,0.006011215435593306,0.0,0.0,0,0.0,1581.45
sweatybetty,1581.21,0.006010296356422229,0.0,0.0,0,0.0,1581.21
asics,1558.37,0.005923487140430243,1.4873999999999998,30.339999999999975,332,0.001,1556.88
rei-co-op,1553.55,0.005905149322683511,0.0,0.0,0,0.0,1553.55
landsend,1462.65,0.00555961932003328,0.0,0.0,0,0.0,1462.65
seasaltcornwall,1411.77,0.005366240685871147,0.089,1.7800000000000002,124,1.0E-4,1411.68
altardstate,1404.77,0.00533963115558472,1.2985999999999995,26.000000000000007,846,9.0E-4,1403.47
uniformadvantage,1354.17,0.005147302897618103,0.0,0.0,0,0.0,1354.17
off5th,1351.43,0.005136886667012562,0.0,0.0,0,0.0,1351.43
