retailer_moniker,production_cost_usd,production_volume_share,consumption_cost_usd,consumption_slot_hours,query_count,consumption_to_production_ratio,net_cost_imbalance
belkxstorepos,1755.18,0.14785421382372538,0.0,0.0,0,0.0,1755.18
fashionnova,1265.91,0.10663885241323821,1346.6447999999993,27256.419999999966,11822,1.0638,-80.73
ae,678.53,0.05715843084562746,0.5695999999999999,11.62,214,8.0E-4,677.96
qvc,629.43,0.05302288093550355,0.1254,2.5199999999999996,32,2.0E-4,629.3
oldnavyca,428.38,0.036086111853729515,0.0,0.0,0,0.0,428.38
jcrew,281.2,0.023688105844133407,0.067,1.3600000000000003,24,2.0E-4,281.13
lululemon,240.78,0.020283311406365537,52.48680000000001,1061.4599999999991,3518,0.218,188.29
sephora,232.11,0.019552643465359128,18.7354,378.2,2336,0.0807,213.37
onrunning,229.06,0.019295673305693414,27.288999999999987,550.52,9922,0.1191,201.77
uniqlo,219.89,0.018522946551191518,0.05759999999999999,1.1200000000000003,100,3.0E-4,219.83
vuoriclothing,216.24,0.0182155802169784,0.14780000000000001,2.9600000000000004,130,7.0E-4,216.09
loft,206.08,0.017359611148981793,0.0,0.0,0,0.0,206.08
saksfifthavenue,186.99,0.01575209791309288,0.01,0.22000000000000003,6,1.0E-4,186.98
gapca,186.31,0.015694130276802793,0.049199999999999994,0.9200000000000003,62,3.0E-4,186.26
crocs,170.57,0.014368905643459036,0.9020000000000001,18.14,368,0.0053,169.67
anntaylor,164.19,0.013831069265679594,0.0,0.0,0,0.0,164.19
levi,154.35,0.013002366213091613,7.191800000000001,144.02000000000004,3856,0.0466,147.16
jcpenney,137.09,0.011548382964447414,10.403400000000003,210.58000000000015,398,0.0759,126.69
jcrewfactory,122.41,0.010312046416649267,0.0,0.0,0,0.0,122.41
lululemon-intl,121.42,0.010228060086682733,0.027000000000000003,0.5,76,2.0E-4,121.39
madewell,109.48,0.00922206228542647,0.1044,2.08,64,0.001,109.38
newbalance,101.29,0.008532162070508558,3.0065999999999997,57.839999999999996,3220,0.0297,98.28
express,94.57,0.007966862731783835,0.108,2.1799999999999997,56,0.0011,94.46
thenorthface,93.64,0.00788847840819339,15.882000000000001,322.1,2526,0.1696,77.76
torrid2,92.37,0.0077810117936895715,0.0019999999999999996,0.04,12,0.0,92.37
