retailer_moniker,project_id_prod,project_id_qa,project_id_stg,md5_hash
01-cnc-test-rb,monitor-5c646e5-us-prod,monitor-5c646e5-us-qa,monitor-5c646e5-us-stg,5c646e5
01-partnership-prod,monitor-f333b31-us-prod,monitor-f333b31-us-qa,monitor-f333b31-us-stg,f333b31
120721test,monitor-60b69d2-us-prod,monitor-60b69d2-us-qa,monitor-60b69d2-us-stg,60b69d2
123inkjets,monitor-080fb87-us-prod,monitor-080fb87-us-qa,monitor-080fb87-us-stg,080fb87
123securityproducts,monitor-9cf5664-us-prod,monitor-9cf5664-us-qa,monitor-9cf5664-us-stg,9cf5664
14hands,monitor-56e3c70-us-prod,monitor-56e3c70-us-qa,monitor-56e3c70-us-stg,56e3c70
1800contacts,monitor-4d5d9a3-us-prod,monitor-4d5d9a3-us-qa,monitor-4d5d9a3-us-stg,4d5d9a3
1800contacts_2,monitor-03dc9b8-us-prod,monitor-03dc9b8-us-qa,monitor-03dc9b8-us-stg,03dc9b8
1800flowers,monitor-5617660-us-prod,monitor-5617660-us-qa,monitor-5617660-us-stg,5617660
1Z0V06W20327468419,monitor-0a6f69f-us-prod,monitor-0a6f69f-us-qa,monitor-0a6f69f-us-stg,0a6f69f
1mg,monitor-fff6bf8-us-prod,monitor-fff6bf8-us-qa,monitor-fff6bf8-us-stg,fff6bf8
1st-phorm-international,monitor-510d233-us-prod,monitor-510d233-us-qa,monitor-510d233-us-stg,510d233
2modern,monitor-5c6bbd9-us-prod,monitor-5c6bbd9-us-qa,monitor-5c6bbd9-us-stg,5c6bbd9
2xist,monitor-7d5a5c2-us-prod,monitor-7d5a5c2-us-qa,monitor-7d5a5c2-us-stg,7d5a5c2
39dollarglasses,monitor-7ed7a4f-us-prod,monitor-7ed7a4f-us-qa,monitor-7ed7a4f-us-stg,7ed7a4f
42gold,monitor-c71cdd7-us-prod,monitor-c71cdd7-us-qa,monitor-c71cdd7-us-stg,c71cdd7
431sports,monitor-63f59d1-us-prod,monitor-63f59d1-us-qa,monitor-63f59d1-us-stg,63f59d1
47brand,monitor-868f697-us-prod,monitor-868f697-us-qa,monitor-868f697-us-stg,868f697
4inkjets,monitor-afbcdc1-us-prod,monitor-afbcdc1-us-qa,monitor-afbcdc1-us-stg,afbcdc1
4life,monitor-6cca071-us-prod,monitor-6cca071-us-qa,monitor-6cca071-us-stg,6cca071
511tactical,monitor-26a614b-us-prod,monitor-26a614b-us-qa,monitor-26a614b-us-stg,26a614b
7forallmandkind,monitor-e78292d-us-prod,monitor-e78292d-us-qa,monitor-e78292d-us-stg,e78292d
