retailer_moniker,shipment_count,shipments_production_cost_usd,shipments_volume_share,consumption_cost_usd,consumption_slot_hours,query_count,consumption_to_production_ratio,net_cost_imbalance
gap,493377992,9668.31,0.05476055985382909,1.5310000000000001,30.93999999999999,170,2.0E-4,9666.78
nike,294969151,5780.26,0.032738946832408876,8.5246,171.06000000000003,2544,0.0015,5771.74
shutterfly,261778140,5129.84,0.029055040428098484,0.0,0.0,0,0.0,5129.84
qvc,227848767,4464.96,0.025289182422479555,0.1254,2.5199999999999996,32,0.0,4464.83
sephora,193386114,3789.62,0.02146413508974761,18.7354,378.19999999999993,2336,0.0049,3770.88
kohls,190507974,3733.22,0.021144687201326798,0.0,0.0,0,0.0,3733.22
lululemon,163354728,3201.12,0.01813091890010767,52.4868,1061.4599999999987,3518,0.0164,3148.63
ae,158676841,3109.45,0.01761171513502982,0.5696,11.62,214,2.0E-4,3108.88
dickssportinggoods,151462711,2968.08,0.016811011001355566,0.0,0.0,0,0.0,2968.08
centerwell,143119984,2804.6,0.015885042659363413,4.869200000000002,91.66000000000001,6716,0.0017,2799.73
victoriassecret,130249976,2552.4,0.014456586476009255,0.0,0.0,0,0.0,2552.4
bathandbodyworks,130124545,2549.94,0.01444266475291986,2.6961999999999997,54.45999999999999,462,0.0011,2547.24
fashionnova,121800797,2386.83,0.013518802910776341,1346.6448000000005,27256.419999999973,11822,0.5642,1040.19
urbanoutfitters,120106777,2353.63,0.01333078178882167,0.0,0.0,0,0.0,2353.63
jcpenney,112728266,2209.04,0.01251183282920201,10.403399999999994,210.5800000000001,398,0.0047,2198.64
fanatics,93958038,1841.22,0.010428504811879302,0.0,0.0,0,0.0,1841.22
dsw,93240334,1827.15,0.010348846064455212,1.1152,22.62,476,6.0E-4,1826.03
ulta,84299532,1651.95,0.009356496727839008,0.8561999999999999,17.240000000000002,212,5.0E-4,1651.09
cvs,84147578,1648.97,0.009339631188137293,0.0,0.0,0,0.0,1648.97
belk,79647222,1560.78,0.008840131781804757,0.0018,0.04,4,0.0,1560.78
bedbathandbeyond,79567288,1559.21,0.008831259820220877,0.0,0.0,0,0.0,1559.21
henryschein-medical,78046097,1529.4,0.008662421176918348,0.0,0.0,0,0.0,1529.4
homedepot,77521575,1519.12,0.008604203909749182,0.0,0.0,0,0.0,1519.12
thriftbooks,71397233,1399.11,0.007924456531280141,0.048799999999999996,0.9800000000000002,30,0.0,1399.06
medline,64177856,1257.64,0.007123170027370058,0.0,0.0,0,0.0,1257.64
dell,59053432,1157.22,0.006554404635077492,0.0,0.0,0,0.0,1157.22
childrensplace,56178413,1100.88,0.006235303149840599,0.0,0.0,0,0.0,1100.88
footlocker,55935237,1096.11,0.006208312781159918,0.0,0.0,0,0.0,1096.11
gamestop,53939587,1057.01,0.005986813417499014,0.0,0.0,0,0.0,1057.01
petco,52641885,1031.58,0.005842780061338625,0.0,0.0,0,0.0,1031.58
nespresso,51716446,1013.44,0.005740064580364014,0.0,0.0,0,0.0,1013.44
saksfifthavenue,48239289,945.3,0.005354131143714775,0.01,0.22000000000000003,6,0.0,945.29
doterra,47895354,938.56,0.005315957424054157,0.7983999999999998,16.080000000000002,258,9.0E-4,937.76
gapca,47069397,922.38,0.005224283558440814,0.049199999999999994,0.9200000000000003,62,1.0E-4,922.33
crocs,44616443,874.31,0.004952027526526667,0.9019999999999999,18.139999999999997,368,0.001,873.41
uscurlsmith,44367290,869.43,0.004924373764116322,0.0,0.0,0,0.0,869.43
neimanmarcus,43479447,852.03,0.004825831104065318,0.07920000000000003,1.620000000000001,148,1.0E-4,851.95
humanapharmacy,42403792,830.95,0.004706442985898972,0.0,0.0,0,0.0,830.95
basspro,41518729,813.61,0.004608208881071067,0.06820000000000002,1.34,122,1.0E-4,813.54
crateandbarrel,40254744,788.84,0.004467917811406082,0.0,0.0,0,0.0,788.84
barnesandnoble,38748300,759.32,0.0043007159536701135,0.0,0.0,0,0.0,759.32
ipsy-beauty,38295717,750.45,0.0042504832743407005,0.0,0.0,0,0.0,750.45
jcrew,37757091,739.89,0.004190700588874202,0.067,1.3600000000000003,24,1.0E-4,739.82
express,36942433,723.93,0.004100280811557908,0.108,2.1799999999999997,56,1.0E-4,723.82
anntaylor,36293356,711.21,0.004028239049491951,0.0,0.0,0,0.0,711.21
coachoutlet,36069865,706.83,0.004003433540367636,0.14439999999999997,2.9399999999999995,76,2.0E-4,706.69
uniqlo,36020442,705.86,0.00399794802785281,0.0576,1.1200000000000003,100,1.0E-4,705.8
finishline,35960425,704.69,0.003991286675757584,0.0262,0.5800000000000001,60,0.0,704.66
maurices,35802020,701.58,0.003973705132550757,0.9294000000000002,18.79999999999999,210,0.0013,700.65
onrunning,35250712,690.78,0.003912514858113273,27.289,550.5199999999998,9922,0.0395,663.49
lululemon-intl,34655830,679.12,0.003846488258031432,0.027000000000000003,0.5,76,0.0,679.09
petsathome,33764476,661.65,0.0037475559082724057,0.6392,12.599999999999996,414,0.001,661.01
famousfootwear,33391929,654.35,0.003706206511617793,0.0,0.0,0,0.0,654.35
stitchfix,33249275,651.56,0.0036903731890293215,0.0,0.0,0,0.0,651.56
chicos,33206079,650.71,0.0036855788180160196,0.0,0.0,0,0.0,650.71
fabletics,33022273,647.11,0.003665177990196985,0.0,0.0,0,0.0,647.11
anthropologie,32586609,638.57,0.0036168231690760656,0.0,0.0,0,0.0,638.57
